resource_type,resource_name,public_access_enabled,encryption_enabled,versioning_enabled,logging_enabled,has_wildcard_permission,has_admin_privilege,has_priv_esc_potential,policy_length,allow_wildcard_action,allow_wildcard_resource,inbound_rule_count,outbound_rule_count,open_ports_to_world,ssh_open_to_world,rdp_open_to_world,all_ports_open,label,dangerous_service_wildcard,has_no_condition,source,bucket_policy_wildcard,mfa_delete_enabled,tls_enforced,db_port_open_to_world,egress_unrestricted,s3_missing_control_count
security_group,baseline-secure-sg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
security_group,baseline-secure-sg-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
security_group,baseline-secure-sg-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cfngoat-WebNodeSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-FlowBucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
iam,cfngoat-UserPolicy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cfngoat-DefaultSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
iam,cfngoat-EC2Policy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-DataBucket,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-FinancialsBucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-OperationsBucket,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-DataScienceBucket,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
s3,cfngoat-LogsBucket,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
iam,terragoat-dbapp-ec2policy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-agentcore_identity_confusion-kb_role_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-agentcore_identity_confusion-starting_user_bedrock_policy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,636.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-agentcore_identity_confusion-code_interpreter_role_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-agentcore_identity_confusion-agent_runtime_role_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-agentcore_identity_confusion-kb_s3_bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-agentcore_identity_confusion-kb_code_interpreter_bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-beanstalk_secrets-admin_user_policy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,204.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-beanstalk_secrets-low_priv_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-beanstalk_secrets-secondary_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-bedrock_agent_hijacking-bedrock_agent_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-bedrock_agent_hijacking-starting_user_bedrock_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-bedrock_agent_hijacking-starting_user_deployment_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-bedrock_agent_hijacking-lambda_execution_role_log_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-bedrock_agent_hijacking-target_s3_bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-cloud_breach_s3-cg-ec2-ssh-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-cloud_breach_s3-cg-ec2-http-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
s3,cloudgoat-cloud_breach_s3-cg-cardholder-data-bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-codebuild_secrets-cg-codebuild-role-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-codebuild_secrets-cg-ec2-role-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-codebuild_secrets-cg-ec2-ssh-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-codebuild_secrets-cg-calrissian-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-codebuild_secrets-cg-solo-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-codebuild_secrets-cg-rds-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-data_secrets-sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-data_secrets-ec2_role_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-data_secrets-start_user_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-data_secrets-lambda_user_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-detection_evasion-cloudtrail_logs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-detection_evasion-main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-detection_evasion-main2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-detection_evasion-instance_profile_easy_path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-detection_evasion-instance_profile_hard_path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ec2_ssrf-ec2_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-ec2_ssrf-ec2_security_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-ec2_ssrf-solus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ec2_ssrf-wrex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ec2_ssrf-shepard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-ec2_ssrf-secret_bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-ecs_efs_attack-cg-ec2-ssh-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-ecs_efs_attack-cg-ec2-efs-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-ecs_efs_attack-cg-ec2-http-listener-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-ecs_efs_attack-cg-ecs-http-security-group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-ecs_efs_attack-cg-ec2-ruse-role-policy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,603.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ecs_efs_attack-cg-efs-admin-role-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ecs_efs_attack-cg-ecs-role-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-ecs_privesc_evade_protection-cg_web_developer_policy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1549.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-ecs_privesc_evade_protection-secret-s3-bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-ecs_privesc_evade_protection-cloudtrail_bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-ecs_privesc_evade_protection-allow_http,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-ecs_takeover-privd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-ecs_takeover-ecs_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-federated_console_takeover-instance_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-federated_console_takeover-ec2_admin_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-federated_console_takeover-initial_user_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-federated_console_takeover-vpc_endpoint_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-glue_privesc-s3_put_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-glue_privesc-glue_management_policy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,483.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-glue_privesc-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
s3,cloudgoat-glue_privesc-web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,1.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-glue_privesc-glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-glue_privesc-ec2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
security_group,cloudgoat-glue_privesc-rds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-iam_enum_basics-flag1_managed_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-iam_enum_basics-flag4_role_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-iam_enum_basics-flag2_inline_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
security_group,cloudgoat-iam_privesc_by_attachment-ec2_server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,1.0,0.0
iam,cloudgoat-iam_privesc_by_attachment-kerrigan_policy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,640.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-iam_privesc_by_attachment-ec2_meek_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-iam_privesc_by_attachment-ec2_mighty_policy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,248.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
iam,cloudgoat-iam_privesc_by_ec2-ec2_manage_permissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,cloudgoat,0.0,0.0,0.0,0.0,0.0,0.0
